Store ID,SKU,Product Name,Price,Date
US-NY-001,SKU-1001,Organic Milk 1L,3.32,2026-01-02
US-NY-002,SKU-1008,Pasta Penne 500g,1.14,2026-01-17
US-NY-003,SKU-2005,Almond Butter 365g,7.07,2026-02-02
US-NY-004,SKU-2012,Ice Cream Vanilla 1L,4.20,2026-02-15
US-NY-005,SKU-1004,Greek Yogurt 500g,1.77,2026-02-24
US-NY-006,SKU-2001,Sparkling Water 6pk,3.29,2026-03-08
US-NY-007,SKU-2008,Basmati Rice 5kg,13.12,2026-03-22
US-NY-008,SKU-2015,Spinach Baby 200g,2.85,2026-04-07
US-NY-009,SKU-1007,Olive Oil 500ml,9.26,2026-04-15
US-NY-010,SKU-2004,Granola 400g,4.67,2026-05-04
US-NY-011,SKU-2011,Frozen Pizza Margherita,6.29,2026-05-13
US-NY-012,SKU-1003,Free Range Eggs 12ct,4.74,2026-05-25
US-NY-013,SKU-1010,Cheddar Cheese 200g,3.83,2026-06-12
US-NY-014,SKU-2007,Honey 500g,6.30,2026-06-19
US-NY-015,SKU-2014,Salmon Fillet 300g,11.75,2026-01-08
US-NY-016,SKU-1006,Avocado Hass 4pk,5.44,2026-01-20
US-NY-017,SKU-2003,Ground Coffee 340g,9.99,2026-01-28
US-NY-018,SKU-2010,Coconut Milk 400ml,2.51,2026-02-12
US-NY-019,SKU-1002,Whole Wheat Bread,2.34,2026-02-23
US-NY-020,SKU-1009,Tomato Sauce 400g,2.15,2026-03-09
US-NY-021,SKU-2006,Dark Chocolate 100g,3.11,2026-03-22
US-NY-022,SKU-2013,Chicken Breast 500g,8.91,2026-04-08
US-NY-023,SKU-1005,Bananas 1kg,1.23,2026-04-22
US-NY-024,SKU-2002,Orange Juice 1L,3.73,2026-05-02
US-NY-025,SKU-2009,Black Beans 400g,1.35,2026-05-17
US-NY-026,SKU-1001,Organic Milk 1L,3.42,2026-05-30
US-NY-027,SKU-1008,Pasta Penne 500g,1.18,2026-06-07
US-NY-028,SKU-2005,Almond Butter 365g,7.29,2026-06-26
US-NY-029,SKU-2012,Ice Cream Vanilla 1L,4.33,2026-01-06
US-NY-030,SKU-1004,Greek Yogurt 500g,1.83,2026-01-16
US-NY-031,SKU-2001,Sparkling Water 6pk,3.39,2026-01-30
US-NY-032,SKU-2008,Basmati Rice 5kg,13.51,2026-02-16
US-NY-033,SKU-2015,Spinach Baby 200g,2.93,2026-03-01
US-NY-034,SKU-1007,Olive Oil 500ml,8.54,2026-03-10
US-NY-035,SKU-2004,Granola 400g,4.31,2026-03-24
US-NY-036,SKU-2011,Frozen Pizza Margherita,5.81,2026-04-10
US-NY-037,SKU-1003,Free Range Eggs 12ct,4.89,2026-04-19
US-NY-038,SKU-1010,Cheddar Cheese 200g,3.95,2026-05-04
US-NY-039,SKU-2007,Honey 500g,6.49,2026-05-19
US-NY-040,SKU-2014,Salmon Fillet 300g,12.11,2026-05-29
US-NY-041,SKU-1006,Avocado Hass 4pk,5.60,2026-06-14
US-NY-042,SKU-2003,Ground Coffee 340g,10.29,2026-06-21
US-NY-043,SKU-2010,Coconut Milk 400ml,2.59,2026-01-05
US-NY-044,SKU-1002,Whole Wheat Bread,2.40,2026-01-21
US-NY-045,SKU-1009,Tomato Sauce 400g,1.99,2026-02-05
US-NY-046,SKU-2006,Dark Chocolate 100g,2.87,2026-02-18
US-NY-047,SKU-2013,Chicken Breast 500g,8.24,2026-02-25
US-NY-048,SKU-1005,Bananas 1kg,1.26,2026-03-15
US-NY-049,SKU-2002,Orange Juice 1L,3.85,2026-03-27
US-NY-050,SKU-2009,Black Beans 400g,1.39,2026-04-06
US-CA-001,SKU-1001,Organic Milk 1L,3.95,2026-04-23
US-CA-002,SKU-1008,Pasta Penne 500g,1.30,2026-05-05
US-CA-003,SKU-2005,Almond Butter 365g,8.48,2026-05-18
US-CA-004,SKU-2012,Ice Cream Vanilla 1L,5.09,2026-05-27
US-CA-005,SKU-1004,Greek Yogurt 500g,2.01,2026-06-10
US-CA-006,SKU-2001,Sparkling Water 6pk,3.47,2026-06-23
US-CA-007,SKU-2008,Basmati Rice 5kg,14.09,2026-01-09
US-CA-008,SKU-2015,Spinach Baby 200g,2.92,2026-01-18
US-CA-009,SKU-1007,Olive Oil 500ml,10.04,2026-02-02
US-CA-010,SKU-2004,Granola 400g,5.02,2026-02-15
US-CA-011,SKU-2011,Frozen Pizza Margherita,6.65,2026-03-02
US-CA-012,SKU-1003,Free Range Eggs 12ct,5.70,2026-03-13
US-CA-013,SKU-1010,Cheddar Cheese 200g,4.31,2026-03-27
US-CA-014,SKU-2007,Honey 500g,7.35,2026-04-10
US-CA-015,SKU-2014,Salmon Fillet 300g,13.97,2026-04-25
US-CA-016,SKU-1006,Avocado Hass 4pk,6.05,2026-05-03
US-CA-017,SKU-2003,Ground Coffee 340g,10.53,2026-05-18
US-CA-018,SKU-2010,Coconut Milk 400ml,2.63,2026-06-01
US-CA-019,SKU-1002,Whole Wheat Bread,2.35,2026-06-14
US-CA-020,SKU-1009,Tomato Sauce 400g,2.25,2026-06-29
US-CA-021,SKU-2006,Dark Chocolate 100g,3.14,2026-01-12
US-CA-022,SKU-2013,Chicken Breast 500g,9.51,2026-01-23
US-CA-023,SKU-1005,Bananas 1kg,1.43,2026-02-07
US-CA-024,SKU-2002,Orange Juice 1L,4.25,2026-02-17
US-CA-025,SKU-2009,Black Beans 400g,1.60,2026-02-28
US-CA-026,SKU-1001,Organic Milk 1L,4.07,2026-03-15
US-CA-027,SKU-1008,Pasta Penne 500g,1.34,2026-03-27
US-CA-028,SKU-2005,Almond Butter 365g,7.83,2026-04-08
US-CA-029,SKU-2012,Ice Cream Vanilla 1L,4.69,2026-04-24
US-CA-030,SKU-1004,Greek Yogurt 500g,1.86,2026-05-06
US-CA-031,SKU-2001,Sparkling Water 6pk,3.58,2026-05-19
US-CA-032,SKU-2008,Basmati Rice 5kg,14.53,2026-05-30
US-CA-033,SKU-2015,Spinach Baby 200g,3.01,2026-06-16
US-CA-034,SKU-1007,Olive Oil 500ml,10.35,2026-06-25
US-CA-035,SKU-2004,Granola 400g,5.18,2026-01-07
US-CA-036,SKU-2011,Frozen Pizza Margherita,6.85,2026-01-26
US-CA-037,SKU-1003,Free Range Eggs 12ct,5.86,2026-02-08
US-CA-038,SKU-1010,Cheddar Cheese 200g,4.44,2026-02-17
US-CA-039,SKU-2007,Honey 500g,6.78,2026-03-04
US-CA-040,SKU-2014,Salmon Fillet 300g,12.89,2026-03-14
US-CA-041,SKU-1006,Avocado Hass 4pk,5.59,2026-03-26
US-CA-042,SKU-2003,Ground Coffee 340g,10.87,2026-04-09
US-CA-043,SKU-2010,Coconut Milk 400ml,2.71,2026-04-27
US-CA-044,SKU-1002,Whole Wheat Bread,2.43,2026-05-10
US-CA-045,SKU-1009,Tomato Sauce 400g,2.32,2026-05-22
US-CA-046,SKU-2006,Dark Chocolate 100g,3.23,2026-06-01
US-CA-047,SKU-2013,Chicken Breast 500g,9.79,2026-06-13
US-CA-048,SKU-1005,Bananas 1kg,1.48,2026-06-28
US-CA-049,SKU-2002,Orange Juice 1L,4.37,2026-01-12
US-CA-050,SKU-2009,Black Beans 400g,1.48,2026-01-21
US-TX-001,SKU-1001,Organic Milk 1L,3.35,2026-02-07
US-TX-002,SKU-1008,Pasta Penne 500g,1.15,2026-02-22
US-TX-003,SKU-2005,Almond Butter 365g,7.14,2026-03-01
US-TX-004,SKU-2012,Ice Cream Vanilla 1L,4.25,2026-03-19
US-TX-005,SKU-1004,Greek Yogurt 500g,1.79,2026-04-02
US-TX-006,SKU-2001,Sparkling Water 6pk,3.32,2026-04-13
US-TX-007,SKU-2008,Basmati Rice 5kg,13.25,2026-04-23
US-TX-008,SKU-2015,Spinach Baby 200g,2.87,2026-05-05
US-TX-009,SKU-1007,Olive Oil 500ml,9.35,2026-05-22
US-TX-010,SKU-2004,Granola 400g,4.71,2026-06-04
US-TX-011,SKU-2011,Frozen Pizza Margherita,5.69,2026-06-14
US-TX-012,SKU-1003,Free Range Eggs 12ct,4.79,2026-06-27
US-TX-013,SKU-1010,Cheddar Cheese 200g,3.87,2026-01-12
US-TX-014,SKU-2007,Honey 500g,6.36,2026-01-28
US-TX-015,SKU-2014,Salmon Fillet 300g,11.87,2026-02-10
US-TX-016,SKU-1006,Avocado Hass 4pk,5.49,2026-02-17
US-TX-017,SKU-2003,Ground Coffee 340g,10.09,2026-03-02
US-TX-018,SKU-2010,Coconut Milk 400ml,2.54,2026-03-15
US-TX-019,SKU-1002,Whole Wheat Bread,2.36,2026-04-03
US-TX-020,SKU-1009,Tomato Sauce 400g,2.17,2026-04-14
US-TX-021,SKU-2006,Dark Chocolate 100g,3.14,2026-04-25
US-TX-022,SKU-2013,Chicken Breast 500g,8.07,2026-05-07
US-TX-023,SKU-1005,Bananas 1kg,1.24,2026-05-24
US-TX-024,SKU-2002,Orange Juice 1L,3.77,2026-06-06
US-TX-025,SKU-2009,Black Beans 400g,1.36,2026-06-20
US-TX-026,SKU-1001,Organic Milk 1L,3.46,2026-06-27
US-TX-027,SKU-1008,Pasta Penne 500g,1.19,2026-01-16
US-TX-028,SKU-2005,Almond Butter 365g,7.36,2026-01-24
US-TX-029,SKU-2012,Ice Cream Vanilla 1L,4.38,2026-02-06
US-TX-030,SKU-1004,Greek Yogurt 500g,1.84,2026-02-23
US-TX-031,SKU-2001,Sparkling Water 6pk,3.42,2026-03-05
US-TX-032,SKU-2008,Basmati Rice 5kg,13.64,2026-03-16
US-TX-033,SKU-2015,Spinach Baby 200g,2.65,2026-03-29
US-TX-034,SKU-1007,Olive Oil 500ml,8.63,2026-04-12
US-TX-035,SKU-2004,Granola 400g,4.36,2026-04-24
US-TX-036,SKU-2011,Frozen Pizza Margherita,5.87,2026-05-10
US-TX-037,SKU-1003,Free Range Eggs 12ct,4.94,2026-05-24
US-TX-038,SKU-1010,Cheddar Cheese 200g,3.99,2026-06-04
US-TX-039,SKU-2007,Honey 500g,6.55,2026-06-15
US-TX-040,SKU-2014,Salmon Fillet 300g,12.23,2026-01-02
US-FL-001,SKU-1006,Avocado Hass 4pk,5.65,2026-01-13
US-FL-002,SKU-2003,Ground Coffee 340g,10.39,2026-01-27
US-FL-003,SKU-2010,Coconut Milk 400ml,2.61,2026-02-11
US-FL-004,SKU-1002,Whole Wheat Bread,2.18,2026-02-21
US-FL-005,SKU-1009,Tomato Sauce 400g,2.01,2026-03-07
US-FL-006,SKU-2006,Dark Chocolate 100g,2.90,2026-03-17
US-FL-007,SKU-2013,Chicken Breast 500g,8.32,2026-04-02
US-FL-008,SKU-1005,Bananas 1kg,1.28,2026-04-16
US-FL-009,SKU-2002,Orange Juice 1L,3.89,2026-04-25
US-FL-010,SKU-2009,Black Beans 400g,1.40,2026-05-12
US-FL-011,SKU-1001,Organic Milk 1L,3.56,2026-05-21
